y_log_return,volatility,avg_volume_mln,momentum_90,trend_ma30,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
0.3743707473464249,0.17027774675714405,1.8493462709163344,0.19021318660161682,0.04494156449415635,0.31747781137603004,0.05689293597039485,0.004452035567866395,0.1585216427019427,1.1592142665530189e-4,0.36001338068050576
0.13496125541248233,0.2862403772780558,5.871767992031872,0.005170196781957314,0.005975521958243431,0.06328027993652255,0.07168097547595978,0.0034358510608269504,0.15850955497897493,1.4172432631777795e-4,0.4533594448124232
-0.47503384458639847,0.404268582016685,1.6616654063745027,-0.15605753775745496,-0.018706525986713473,-0.16936764682664318,-0.3056661977597553,0.014422260610902201,0.15793957857575516,0.011060103064070317,-1.943987027762637
0.39412250414460936,0.1816447945014747,27.079968705179287,0.2817454151540912,0.06312813890084652,0.42978797889505244,-0.03566547475044307,0.037085208998818744,0.15853389239331409,4.0563349656539744e-4,-0.22948033288738123
0.4554169059649426,0.17786572631683586,5.977824581673305,0.0452665173364337,-0.01484804785557863,0.15116360995173386,0.3042532960132087,0.003801002402431781,0.15795152632454545,0.002826762386142688,1.9246582792227556
0.12958948509745485,0.2581379208687913,1.7899028446215144,0.07293135893334858,0.04509946334180691,0.1536252273883497,-0.024035742290894835,0.0039512011845973544,0.15853859466505402,1.8344072836969663e-5,-0.1520577715864897
0.4091288961284687,0.13913333908202083,6.5999430876494,0.11615986670404718,0.058130601792573705,0.26093804027175177,0.14819085585671693,0.005726522381599885,0.15840205917446318,0.0010142262406470052,0.9383392213121036
0.27836523487155057,0.1332894993740432,2.1068804900398415,0.03658841909174081,-0.005484000228977036,0.1624226981510926,0.11594253672045798,0.004266659568425659,0.1584565855078994,4.6121164890054815e-4,0.7336056447342791
0.5407183778427772,0.21511731582508375,2.470288103585658,0.2754066111215931,0.079380878752738,0.3941257203822607,0.14659265746051653,0.008713100784418082,0.1584046549923994,0.0015191869364500111,0.92961671789519
0.21926042694947653,0.20240084680902468,2.944897462151395,0.07867847632828695,0.024487966347148584,0.18171400720078737,0.037546419748689164,0.002173474087586181,0.1585333099166111,2.453546064891589e-5,0.23731893968808643
-0.14163639778809833,0.18674688687245725,3.0180631633466133,-0.09437967542548861,-0.038363282095691675,-0.006688099630182978,-0.13494829815791537,0.005371381135687169,0.15842604962277126,7.883365606858308e-4,-0.8543352526454661
0.11393236778836112,0.19412659935737164,2.7998252071713137,-0.07044319806459802,-0.025101449275362307,0.01785169649376614,0.09608067129459498,0.004116192350723087,0.15848344332573197,3.054661938693998e-4,0.6078873191926271
0.09147545505731382,0.2423358771801009,0.5877539641434264,0.07476989506387373,-0.012437234453456916,0.1486812121987576,-0.05720575714144378,0.005020568648084831,0.15852140325102423,1.3231739956426803e-4,-0.3620962918402892
0.34085074033245893,0.3057094736433524,2.1256931792828686,0.22508443371329637,0.06722674367725551,0.29600039241809284,0.044850347914366095,0.011019464385746518,0.1585293680330618,1.80688040000883e-4,0.2847497391671439
0.10861980321588037,0.12122681009374778,1.4101017450199205,0.03875801029940372,-4.6455390098011076e-4,0.17102216805606413,-0.06240236484018376,0.004758480843206355,0.15851744520786587,1.4915102010240358e-4,-0.39493733956679156
0.14302648353589753,0.10935840912130132,2.307721374501992,0.07355013654137602,0.007398555343106054,0.21544699735716538,-0.07242051382126785,0.005050430567191494,0.1585088220662827,2.133350670834125e-4,-0.4584082851147253
-0.06923793949454969,0.2100684902833374,5.424338501992032,-0.016429249781067003,-0.013493424814179568,0.07145946482278584,-0.14069740431733552,0.002761367086273915,0.1584162624997658,4.382388774749228e-4,-0.8895654946823224
0.38590016015111783,0.1924309993892375,2.596559697211156,0.161635276410506,-0.012088896125040698,0.2644208527220313,0.12147930742908652,0.007911235980321289,0.15844785779404888,9.457158519758089e-4,0.7700491263868984
0.23179172931343806,0.1126286270587455,1.7627172231075703,0.05832028856777895,-7.405284028473888e-4,0.19569934186649915,0.036092387446938906,0.005134707658485067,0.15853396621180302,5.3880443411526306e-05,0.22846772730550238
-0.23847863008114908,0.21314443792147358,2.917130812749003,0.06630334896172364,0.03357232064387811,0.16583626149060174,-0.4043148915717508,0.0024109995707138477,0.15749902710160854,0.0031575197896901047,-2.555849648091441
-0.09025540914270087,0.1679173148814596,5.786385147410359,-0.052490182621396805,0.00881961506961499,0.05889892514191362,-0.1491543342846145,0.005154911702083737,0.15840031082142153,9.238359190385396e-4,-0.9441685687868618
-0.03371741504578198,0.13625342196507434,1.0571470318725096,-0.03948777150711839,-0.005963506898086353,0.08057461646157989,-0.11429203150736186,0.005618512785393991,0.1584588952273385,5.917796062159015e-4,-0.7236537680800111
0.05286982406698848,0.2036932344380302,0.39551835059760954,0.08675457960578085,0.01562544269726582,0.18571619855686639,-0.1328463744898779,0.0028388818650468147,0.1584299294614861,4.0172498108993353e-4,-0.8399596605170309
0.1740240833130706,0.11839503419204025,0.892616701195219,0.05384554763341663,0.024291730474731973,0.1935516601740571,-0.019527576860986495,0.004994155283025157,0.1585398432908343,1.533628840219608e-5,-0.12360240771799383
-0.030198343688454143,0.34371910118258453,2.2687567171314744,-0.3041456011562357,0.009659118938385019,-0.28897938204618,0.25878103835772587,0.02527578943221439,0.1581057090517542,0.014204269424493123,1.6549427138285768
0.4013301275384722,0.24182228512805107,1.1699018565737056,0.22928027645260593,0.05684648873745985,0.3271939710397491,0.07413615649872307,0.007479358260281825,0.15850713230326025,3.327040991558144e-4,0.4698418346519706
