term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.18630283213684606,0.02074997502058951,8.978460550048082,5.641351980056451e-18,0.1455345473182964,0.22707111695539572
volatility,-0.46786438439448635,0.08866572320532545,-5.276722136592074,1.9660666290448722e-7,-0.6420693872289767,-0.2936593815599961
avg_volume_mln,6.972660289609695e-4,0.0011121285092755276,0.6269653400173947,0.5309692721064792,-0.0014877762072819571,0.0028823082652038963
momentum_90,1.046550259145756,0.07303010258450504,14.330395578107883,3.0282205821716894e-39,0.9030651696678789,1.1900353486236332
trend_ma30,0.23329687024582788,0.19465113747633112,1.1985384378973687,0.23127750461864274,-0.14914180763284476,0.6157355481245005
