name,observations_2017,start_price,end_price,y_log_return,volatility,avg_volume_mln,momentum_90,trend_ma30
A,251,46.49,67.6,0.3743707473464249,0.17027774675714405,1.8493462709163344,0.19021318660161682,0.04494156449415635
AAL,251,46.3,52.99,0.13496125541248233,0.2862403772780558,5.871767992031872,0.005170196781957314,0.005975521958243431
AAP,251,170.6,106.09,-0.47503384458639847,0.404268582016685,1.6616654063745027,-0.15605753775745496,-0.018706525986713473
AAPL,251,116.15,172.26,0.39412250414460936,0.1816447945014747,27.079968705179287,0.2817454151540912,0.06312813890084652
ABBV,251,62.41,98.41,0.4554169059649426,0.17786572631683586,5.977824581673305,0.0452665173364337,-0.01484804785557863
ABC,251,82.61,94.04,0.12958948509745485,0.2581379208687913,1.7899028446215144,0.07293135893334858,0.04509946334180691
ABT,251,39.05,58.79,0.4091288961284687,0.13913333908202083,6.5999430876494,0.11615986670404718,0.058130601792573705
ACN,251,116.46,153.84,0.27836523487155057,0.1332894993740432,2.1068804900398415,0.03658841909174081,-0.005484000228977036
ADBE,251,103.48,177.7,0.5407183778427772,0.21511731582508375,2.470288103585658,0.2754066111215931,0.079380878752738
ADI,251,72.505,90.28,0.21926042694947653,0.20240084680902468,2.944897462151395,0.07867847632828695,0.024487966347148584
ADM,251,46.19,40.09,-0.14163639778809833,0.18674688687245725,3.0180631633466133,-0.09437967542548861,-0.038363282095691675
ADP,251,103.5,115.99,0.11393236778836112,0.19412659935737164,2.7998252071713137,-0.07044319806459802,-0.025101449275362307
ADS,251,233.01,255.33,0.09147545505731382,0.2423358771801009,0.5877539641434264,0.07476989506387373,-0.012437234453456916
ADSK,251,76.18,107.12,0.34085074033245893,0.3057094736433524,2.1256931792828686,0.22508443371329637,0.06722674367725551
AEE,251,52.38,58.39,0.10861980321588037,0.12122681009374778,1.4101017450199205,0.03875801029940372,-4.6455390098011076e-4
AEP,251,62.76,72.41,0.14302648353589753,0.10935840912130132,2.307721374501992,0.07355013654137602,0.007398555343106054
AES,251,11.66,10.88,-0.06923793949454969,0.2100684902833374,5.424338501992032,-0.016429249781067003,-0.013493424814179568
AET,251,122.84,180.69,0.38590016015111783,0.1924309993892375,2.596559697211156,0.161635276410506,-0.012088896125040698
AFL,251,69.77,87.97,0.23179172931343806,0.1126286270587455,1.7627172231075703,0.05832028856777895,-7.405284028473888e-4
AGN,251,216.19,170.32,-0.23847863008114908,0.21314443792147358,2.917130812749003,0.06630334896172364,0.03357232064387811
AIG,251,65.12,59.5,-0.09025540914270087,0.1679173148814596,5.786385147410359,-0.052490182621396805,0.00881961506961499
AIV,251,44.94,43.45,-0.03371741504578198,0.13625342196507434,1.0571470318725096,-0.03948777150711839,-0.005963506898086353
AIZ,251,94.12,99.23,0.05286982406698848,0.2036932344380302,0.39551835059760954,0.08675457960578085,0.01562544269726582
AJG,251,52.24,62.17,0.1740240833130706,0.11839503419204025,0.892616701195219,0.05384554763341663,0.024291730474731973
AKAM,251,67.57,65.56,-0.030198343688454143,0.34371910118258453,2.2687567171314744,-0.3041456011562357,0.009659118938385019
ALB,251,88.05,131.53,0.4013301275384722,0.24182228512805107,1.1699018565737056,0.22928027645260593,0.05684648873745985
ALGN,251,96.96,224.62,0.8401115632138858,0.3392117887635699,1.0187978964143425,0.349034443372455,-0.025415979097909745
ALK,251,88,75.01,-0.1597153764966615,0.28088914046095825,1.4853620796812752,-0.05069538704537338,0.06254166666666659
ALL,251,74.17,101.92,0.31782843607538647,0.12653081265256563,1.8320881434262948,0.12338504013351134,0.019900229203181866
ALLE,251,64.7,79.91,0.21113979987951645,0.17358628153460473,0.6864948007968129,0.17780337961192486,0.03206594538897463
ALXN,251,122.63,124.05,0.011513018363875386,0.3183064116371274,2.2697485139442226,-0.029712120689152802,0.07564761205795215
AMAT,251,31.94,53.04,0.5071872030907406,0.2646695021074368,10.091930936254982,0.3084419194661422,0.06680233771655186
AMD,251,11.43,10.98,-0.04016604172533464,0.59508179392784,65.16214863346613,-0.03200273108617372,0.002595508894721557
AME,251,49.22,72.75,0.39072886108869215,0.13220554029627854,1.3221971713147411,0.1955413870410725,0.03961126913178922
AMG,251,145.79,203.04,0.33123577384934705,0.18859603102480027,0.399955725099602,0.04447263812124072,0.03325788234218172
AMGN,251,150.73,177,0.16065957575139128,0.17653289773778416,3.173321127490038,0.06018353345304016,0.05207766646763537
AMP,251,111.85,169.91,0.4181101971615287,0.19559727338636168,1.0106620916334657,0.13166330999751324,0.04392489941886465
AMT,251,106.15,141.13,0.2848282632766505,0.15742638642180876,1.9802783386454181,0.17364847554052573,-0.013735280263777792
AMZN,251,753.67,1189.01,0.4559217006625065,0.2047995353472398,3.51002945816733,0.2289989715919416,0.07890677175244702
ANDV,251,88.78,114.77,0.25676872628668773,0.20464663932299337,1.9173866852589652,-0.08151747486659885,-0.06279192010212517
ANSS,251,93.35,148.55,0.46456573192088524,0.19425835654513646,0.5417172310756974,0.25021878573183076,0.012462060346366804
ANTM,251,143.24,226,0.45601345414205385,0.1813184480622028,1.589748876494024,0.2434333813374133,0.06351577771572176
AON,251,112.08,131.49,0.15971790107007605,0.12196782973423828,1.0917143187250995,0.10348509648791378,0.01137282893171552
AOS,251,47.5,61.53,0.25879514971180334,0.15826268104452268,0.9791227330677293,0.13028930061404842,0.021256140350877216
APA,251,63.78,44.3,-0.36445498453082176,0.330998466165973,3.5962714780876497,-0.22224242092235905,-0.0480505905717571
APC,251,70.25,54.77,-0.2489177094182251,0.2689348449257246,5.0499051195219105,-0.30970210298963613,-0.005542111506524213
